AREA,community,abbr,Arson,assault,burglary,deception,motortheft,narcotics,robbery,weapons,morning,afternoon,evening,night
1,Rogers Park,RP,0,22,27,21,13,2,17,3,91,86,71,90
2,West Ridge,WR,0,30,21,33,34,4,11,3,62,98,65,118
3,Uptown ,UP,0,26,13,27,11,4,7,2,75,73,61,84
4,Lincoln Square,LS,0,13,13,21,7,3,10,2,40,50,40,48
5,North Center,NC,0,3,5,14,3,3,4,1,15,24,22,34
6,Lake View,LK,0,20,42,63,23,2,21,1,108,101,106,156
7,Lincoln Park,LP,1,8,25,36,15,12,9,0,72,111,103,99
8,Near North Side,NS,0,34,12,160,35,1,13,5,168,303,209,325
9,Edison Park,EP,0,1,0,2,1,3,1,0,4,5,7,9
10,Norwood Park,NP,0,5,6,16,1,5,0,0,23,25,21,29
11,Jefferson Park,JP,1,6,8,19,3,1,4,2,22,27,31,40
12,Forest Glen,FG,0,2,8,9,4,1,0,0,9,12,5,15
13,North Park,NP,1,4,5,9,3,3,5,0,18,31,16,26
14,Albany Park,AP,0,6,8,6,23,10,15,5,30,58,41,78
15,Portage Park,PP,0,14,24,30,25,2,6,1,62,69,59,95
16,Irving Park,IP,3,12,18,13,20,5,9,1,47,67,63,93
17,Dunning,DU,0,7,20,10,7,16,7,3,27,26,33,52
18,Montclare,MC,0,1,9,1,3,2,3,1,14,11,15,20
19,Belmont Cragin,BC,2,30,50,21,55,7,21,3,96,120,103,129
20,Hermosa,HE,1,7,15,8,16,104,8,2,29,37,30,57
21,Avondale,AV,1,7,28,18,22,4,17,1,65,42,46,67
22,Logan Square,LS,1,25,50,32,39,124,48,2,101,110,143,161
23,Humboldt Park,HP,4,47,30,27,57,82,49,16,173,180,162,214
24,West Town,WT,1,38,72,63,36,73,26,0,166,205,209,209
25,Austin,AU,3,107,65,64,70,15,81,27,309,391,307,389
26,West Garfield Park,WG,0,25,11,19,22,122,24,17,101,117,121,142
27,East Garfield Park,EG,3,30,17,10,28,10,21,11,105,133,106,123
28,Near West Side,WS,0,30,24,73,61,3,47,5,188,221,216,184
29,North Lawndale,NL,1,55,22,24,36,6,35,26,173,237,175,223
30,South Lawndale,SL,1,26,29,12,21,3,27,12,68,111,95,106
31,Lower West Side,LW,0,17,29,9,10,6,9,2,57,62,52,77
32,Loop,LO,0,37,8,124,9,2,23,0,136,349,223,112
33,Near South Side,SS,0,8,2,18,9,9,3,0,39,46,33,34
34,Armour Square,AS,0,4,8,4,3,1,12,2,22,26,15,23
35,Douglas,DO,0,22,7,25,7,5,11,2,79,73,51,58
36,Oakland,OA,0,3,1,5,3,1,2,1,11,14,12,18
37,Fuller Park,FP,0,5,1,1,5,11,5,1,15,15,15,15
38,Boulevard,BO,0,21,16,16,13,15,8,5,66,72,53,80
39,Kenwood,KE,0,7,7,13,6,13,7,0,36,41,28,49
40,Washington Park,WP,1,21,6,7,10,15,16,0,49,51,40,51
41,Hyde Park,HP,1,8,7,15,6,2,7,1,35,41,35,39
42,Woodlawn,WL,0,24,25,10,10,23,24,7,71,82,63,104
43,South Shore,SH,1,70,45,45,33,3,47,10,185,190,165,214
44,Chatham,CH,0,39,35,26,19,1,18,10,137,161,104,176
45,Avalon Park,AL,0,9,9,11,3,3,5,3,40,30,26,40
46,South Chicago,SC,1,30,15,16,29,8,16,14,87,90,99,123
47,Burnside,BU,0,4,0,1,1,1,0,1,5,10,5,7
48,Calumet Heights,CA,1,5,13,13,5,6,13,1,21,25,23,47
49,Roseland,RO,2,54,36,26,20,2,37,9,129,181,124,175
50,Pullman,PU,0,10,1,6,6,13,0,0,19,20,24,22
51,South Deering,SD,0,12,2,7,7,7,8,3,25,47,36,39
52,East Side,ES,0,10,9,5,8,3,3,7,22,38,29,46
53,West Pullman,WE,1,19,29,12,16,15,23,5,97,90,51,104
54,Riverdale,RI,0,13,4,1,8,4,5,3,30,36,21,35
55,Hegewisch,HE,0,5,1,2,6,6,1,1,29,15,12,27
56,Garfield Ridge,GR,0,7,7,18,7,1,3,2,36,35,33,43
57,Archer Heights,AH,0,3,3,6,5,4,4,0,14,34,12,24
58,Brighton Park,BP,1,12,14,10,11,12,11,6,49,56,33,78
59,Mckinley Park,MP,0,10,5,6,7,35,1,0,19,27,26,31
60,Bridgeport,BR,0,15,12,6,6,22,5,0,24,33,35,36
61,New City,NE,6,23,23,16,18,23,21,11,81,104,103,125
62,West Elsdon,WE,0,5,13,6,11,1,11,1,37,24,31,33
63,Gage Park,GP,0,20,17,20,6,35,9,4,55,57,42,79
64,Clearing,CL,0,3,10,7,2,1,1,1,16,12,17,24
65,West Lawn,LA,1,6,13,7,21,4,10,1,53,53,50,59
66,Chicago Lawn,CW,2,32,38,34,26,4,23,11,118,136,113,154
67,West Englewood,WL,1,50,22,24,13,5,34,20,123,164,120,149
68,Englewood,EN,3,44,31,13,21,6,25,12,110,132,107,165
69,Greater Grand Crossing,GC,1,57,31,25,24,,44,15,138,153,128,184
70,Ashburn,AH,0,12,18,20,44,,20,0,78,70,54,81
71,Auburn Gresham,AB,1,54,16,31,28,,29,26,151,188,151,204
72,Beverly,BE,0,2,8,12,4,,2,0,24,29,17,17
73,Washington Heights,WH,0,13,18,21,7,,10,8,60,68,71,68
74,Mount Greenwood,MG,0,6,3,4,0,,1,1,18,11,6,15
75,Morgan Park,MO,0,11,16,18,16,,10,6,52,51,49,70
76,Ohare,OH,1,7,1,11,4,,0,1,39,40,23,23
77,Edgewater,ED,0,15,13,31,13,,10,2,46,75,69,86